country,date,Population,NewCases,TotalCases,NewDeaths,TotalDeaths,lat,long
Mexico_2020,9/13,127576000,4408,668381,217,70821,23.6345,-102.5528
Mexico_2020,9/14,127576000,3335,671716,228,71049,23.6345,-102.5528
Mexico_2020,9/15,127576000,4771,676487,629,71678,23.6345,-102.5528
Mexico_2020,9/16,127576000,4444,680931,300,71978,23.6345,-102.5528
Mexico_2020,9/17,127576000,3182,684113,201,72179,23.6345,-102.5528
Mexico_2020,9/18,127576000,4841,688954,624,72803,23.6345,-102.5528
Mexico_2020,9/19,127576000,5167,694121,455,73258,23.6345,-102.5528
Mexico_2020,9/20,127576000,3542,697663,235,73493,23.6345,-102.5528
Mexico_2020,9/21,127576000,2917,700580,204,73697,23.6345,-102.5528
Mexico_2020,9/22,127576000,4683,705263,651,74348,23.6345,-102.5528
Mexico_2020,9/23,127576000,4786,710049,601,74949,23.6345,-102.5528
Mexico_2020,9/24,127576000,5408,715457,490,75439,23.6345,-102.5528
Mexico_2020,9/25,127576000,5401,720858,405,75844,23.6345,-102.5528
Mexico_2020,9/26,127576000,5573,726431,399,76243,23.6345,-102.5528
Mexico_2020,9/27,127576000,3886,730317,187,76430,23.6345,-102.5528
Mexico_2020,9/28,127576000,3400,733717,173,76603,23.6345,-102.5528
Mexico_2020,9/29,127576000,4446,738163,560,77163,23.6345,-102.5528
Mexico_2020,9/30,127576000,5053,743216,483,77646,23.6345,-102.5528
Mexico_2020,10/1,127576000,5099,748315,432,78078,23.6345,-102.5528
Mexico_2020,10/2,127576000,4775,753090,414,78492,23.6345,-102.5528
Mexico_2020,10/3,127576000,4863,757953,388,78880,23.6345,-102.5528
Mexico_2020,10/4,127576000,3712,761665,208,79088,23.6345,-102.5528
Mexico_2020,10/5,127576000,28115,789780,2789,81877,23.6345,-102.5528
Mexico_2020,10/6,127576000,4828,794608,471,82348,23.6345,-102.5528
Mexico_2020,10/7,127576000,4580,799188,378,82726,23.6345,-102.5528
Mexico_2020,10/8,127576000,5300,804488,370,83096,23.6345,-102.5528
Mexico_2020,10/9,127576000,5532,810020,401,83497,23.6345,-102.5528
Mexico_2020,10/10,127576000,4308,814328,145,83642,23.6345,-102.5528
Mexico_2020,10/11,127576000,3175,817503,139,83781,23.6345,-102.5528
Mexico_2020,10/12,127576000,3542,821045,164,83945,23.6345,-102.5528
Mexico_2020,10/13,127576000,4295,825340,475,84420,23.6345,-102.5528
Mexico_2020,10/14,127576000,4056,829396,478,84898,23.6345,-102.5528
Mexico_2020,10/15,127576000,5514,834910,387,85285,23.6345,-102.5528
Mexico_2020,10/16,127576000,6751,841661,419,85704,23.6345,-102.5528
Mexico_2020,10/17,127576000,5447,847108,355,86059,23.6345,-102.5528
Mexico_2020,10/18,127576000,4119,851227,108,86167,23.6345,-102.5528
Mexico_2020,10/19,127576000,3699,854926,171,86338,23.6345,-102.5528
Mexico_2020,10/20,127576000,5788,860714,555,86893,23.6345,-102.5528
Mexico_2020,10/21,127576000,6845,867559,522,87415,23.6345,-102.5528
Mexico_2020,10/22,127576000,6612,874171,0,87415,23.6345,-102.5528
Mexico_2020,10/23,127576000,6604,880775,897,88312,23.6345,-102.5528
Mexico_2020,10/24,127576000,6025,886800,431,88743,23.6345,-102.5528
Mexico_2020,10/25,127576000,4360,891160,181,88924,23.6345,-102.5528
Mexico_2020,10/26,127576000,4166,895326,247,89171,23.6345,-102.5528
Mexico_2020,10/27,127576000,5942,901268,643,89814,23.6345,-102.5528
Mexico_2020,10/28,127576000,5595,906863,495,90309,23.6345,-102.5528
Mexico_2020,10/29,127576000,5948,912811,464,90773,23.6345,-102.5528
Mexico_2020,10/30,127576000,6000,918811,516,91289,23.6345,-102.5528
Mexico_2020,10/31,127576000,6151,924962,464,91753,23.6345,-102.5528
Mexico_2020,11/1,127576000,4430,929392,142,91895,23.6345,-102.5528
Mexico_2020,11/2,127576000,3763,933155,205,92100,23.6345,-102.5528
Mexico_2020,11/3,127576000,5250,938405,493,92593,23.6345,-102.5528
Mexico_2020,11/4,127576000,5225,943630,635,93228,23.6345,-102.5528
Mexico_2020,11/5,127576000,5567,949197,544,93772,23.6345,-102.5528
Mexico_2020,11/6,127576000,5931,955128,551,94323,23.6345,-102.5528
Mexico_2020,11/7,127576000,6810,961938,485,94808,23.6345,-102.5528
Mexico_2020,11/8,127576000,5887,967825,219,95027,23.6345,-102.5528
Mexico_2020,11/9,127576000,4960,972785,198,95225,23.6345,-102.5528
Mexico_2020,11/10,127576000,5746,978531,617,95842,23.6345,-102.5528
Mexico_2020,11/11,127576000,7646,986177,588,96430,23.6345,-102.5528
Mexico_2020,11/12,127576000,5658,991835,626,97056,23.6345,-102.5528
Mexico_2020,11/13,127576000,5558,997393,568,97624,23.6345,-102.5528
Mexico_2020,11/14,127576000,5860,1003253,635,98259,23.6345,-102.5528
Mexico_2020,11/15,127576000,3269,1006522,283,98542,23.6345,-102.5528
Mexico_2020,11/16,127576000,2874,1009396,319,98861,23.6345,-102.5528
Mexico_2020,11/17,127576000,1757,1011153,165,99026,23.6345,-102.5528
Mexico_2020,11/18,127576000,3918,1015071,502,99528,23.6345,-102.5528
Mexico_2020,11/19,127576000,4472,1019543,576,100104,23.6345,-102.5528
Mexico_2020,11/20,127576000,6426,1025969,719,100823,23.6345,-102.5528
Mexico_2020,11/21,127576000,6719,1032688,550,101373,23.6345,-102.5528
Mexico_2020,11/22,127576000,9187,1041875,303,101676,23.6345,-102.5528
Mexico_2020,11/23,127576000,7483,1049358,250,101926,23.6345,-102.5528
Mexico_2020,11/24,127576000,10794,1060152,813,102739,23.6345,-102.5528
Mexico_2020,11/25,127576000,10335,1070487,858,103597,23.6345,-102.5528
Mexico_2020,11/26,127576000,8107,1078594,645,104242,23.6345,-102.5528
Mexico_2020,11/27,127576000,12081,1090675,631,104873,23.6345,-102.5528
Mexico_2020,11/28,127576000,10728,1101403,586,105459,23.6345,-102.5528
Mexico_2020,11/29,127576000,5668,1107071,196,105655,23.6345,-102.5528
Mexico_2020,11/30,127576000,6472,1113543,285,105940,23.6345,-102.5528
Mexico_2020,12/1,127576000,8819,1122362,825,106765,23.6345,-102.5528
Mexico_2020,12/2,127576000,11251,1133613,800,107565,23.6345,-102.5528
Mexico_2020,12/3,127576000,11030,1144643,608,108173,23.6345,-102.5528
Mexico_2020,12/4,127576000,12127,1156770,690,108863,23.6345,-102.5528
Mexico_2020,12/5,127576000,11625,1168395,593,109456,23.6345,-102.5528
Mexico_2020,12/6,127576000,7455,1175850,261,109717,23.6345,-102.5528
Mexico_2020,12/7,127576000,6399,1182249,357,110074,23.6345,-102.5528
Mexico_2020,12/8,127576000,11006,1193255,800,110874,23.6345,-102.5528
Mexico_2020,12/9,127576000,11974,1205229,781,111655,23.6345,-102.5528
Mexico_2020,12/10,127576000,11897,1217126,671,112326,23.6345,-102.5528
Mexico_2020,12/11,127576000,12253,1229379,693,113019,23.6345,-102.5528
Mexico_2020,12/12,127576000,12057,1241436,685,113704,23.6345,-102.5528
Mexico_2020,12/13,127576000,8608,1250044,249,113953,23.6345,-102.5528
Mexico_2020,12/14,127576000,5930,1255974,345,114298,23.6345,-102.5528
Mexico_2020,12/15,127576000,11228,1267202,801,115099,23.6345,-102.5528
Mexico_2020,12/16,127576000,10297,1277499,670,115769,23.6345,-102.5528
Mexico_2020,12/17,127576000,11799,1289298,718,116487,23.6345,-102.5528
Mexico_2020,12/18,127576000,12248,1301546,762,117249,23.6345,-102.5528
